activityType,activityDescription,riskLevel,archetype,textContent,sentimentScore
shopping,Grocery shopping,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.9661
cooking,Preparing a healthy meal,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.8157
socializing,Meeting friends at cafe,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.6649
studying,Self-directed learning,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.7526
shopping,Grocery shopping,LOW,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.6270
exercise,Running in the park,LOW,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7157
exercise,Running in the park,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9015
socializing,Meeting friends at cafe,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.7551
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8789
volunteering,Helping at local shelter,LOW,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.7695
heavy_lifting,Moving boxes into building,MEDIUM,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8384
fast_food,Eating at fast food restaurant,HIGH,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6004
working,Focused desk work,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4188
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,Just a cup of black coffee and another gray morning. What are we all running towards?,0.2207
working,Focused desk work,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.6519
fast_food,Eating at fast food restaurant,HIGH,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.6788
fast_food,Eating at fast food restaurant,HIGH,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9256
cycling,Cycling without helmet,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.4388
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4402
cooking,Preparing a healthy meal,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8369
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.5351
volunteering,Helping at local shelter,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5477
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.2894
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.4795
sports,Playing basketball,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.4324
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.6734
studying,Self-directed learning,LOW,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 55%.,0.7770
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.7325
cooking,Preparing a healthy meal,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4386
shopping,Grocery shopping,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7448
studying,Self-directed learning,LOW,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.6373
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.7103
exercise,Yoga session at home,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.6927
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Running in the park. Maintaining physical systems is as important as digital ones.,0.5179
exercise,Yoga session at home,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3157
working,Focused desk work,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.6913
sports,Playing basketball,MEDIUM,The Community Builder,Preparing a healthy meal for the family. Food is love made visible.,0.7866
cooking,Preparing a healthy meal,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5711
cycling,Cycling without helmet,MEDIUM,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8137
gardening,Community garden maintenance,LOW,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.7206
fast_food,Eating at fast food restaurant,HIGH,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.7358
volunteering,Helping at local shelter,LOW,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.8052
fast_food,Eating at fast food restaurant,HIGH,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5756
cooking,Preparing a healthy meal,LOW,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5511
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.6172
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8003
smoking,Smoking outside building,HIGH,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8806
gardening,Community garden maintenance,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.3475
socializing,Meeting friends at cafe,LOW,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.9176
shopping,Grocery shopping,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.7890
fast_food,Eating at fast food restaurant,HIGH,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.4576
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.6014
sports,Playing basketball,MEDIUM,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.8150
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.5609
driving,Commuting during rush hour,MEDIUM,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.8765
gardening,Community garden maintenance,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.9578
cooking,Preparing a healthy meal,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.5798
smoking,Smoking outside building,HIGH,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.7423
socializing,Meeting friends at cafe,LOW,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5387
cooking,Preparing a healthy meal,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.7909
sports,Playing basketball,MEDIUM,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.5723
exercise,Yoga session at home,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.9765
socializing,Meeting friends at cafe,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4987
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8790
gardening,Community garden maintenance,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5473
cycling,Cycling without helmet,MEDIUM,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.4657
volunteering,Helping at local shelter,LOW,The Community Builder,Volunteering at the local shelter. So proud of everyone who showed up to help today!,0.9658
shopping,Grocery shopping,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9403
studying,Self-directed learning,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9463
socializing,Meeting friends at cafe,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6290
shopping,Grocery shopping,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.9564
shopping,Grocery shopping,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.5641
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.6072
shopping,Grocery shopping,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.7877
